drug_name,num_prescriber,total_cost
HARVONI,2,1.53061e+06
SPIRIVA,25,793432
LANTUS SOLOSTAR,19,685977
LANTUS,17,637497
ADVAIR DISKUS,26,580005
ARALAST NP,1,558311
CRESTOR,31,519856
SYMBICORT,24,468421
NEXIUM,23,442396
PROLASTIN C,2,412889
NOVOLOG FLEXPEN,10,360657
LEVEMIR FLEXTOUCH,12,353526
ABILIFY,7,322146
JANUVIA,19,319888
LYRICA,17,314033
TECFIDERA,1,263131
HUMALOG KWIKPEN U-100,7,260356
XARELTO,15,258106
GLASSIA,1,238158
TRADJENTA,6,233000
HUMALOG,9,213605
VICTOZA 3-PAK,5,211386
ELIQUIS,9,188725
OXYCONTIN,10,181910
LEVOTHYROXINE SODIUM,42,178568
ZETIA,13,169005
PROAIR HFA,34,163994
NOVOLOG,7,162691
LATUDA,4,160966
OFEV,1,150216
HYDROCODONE-ACETAMINOPHEN,66,144788
VESICARE,15,143668
METOPROLOL SUCCINATE,44,138834
DULOXETINE HCL,28,138126
NAMENDA XR,11,133113
RESTASIS,5,129693
INVOKANA,9,127767
HETLIOZ,1,127731
ATORVASTATIN CALCIUM,52,127651
PRADAXA,9,127419
GABAPENTIN,47,124911
RANEXA,9,122338
POTASSIUM CHLORIDE,34,120133
XYREM,1,117323
LEVEMIR,5,117234
ATRIPLA,2,116581
COMBIVENT RESPIMAT,8,116365
COPAXONE,1,115936
ARIPIPRAZOLE,6,111674
STRIBILD,1,111595
OMEPRAZOLE,50,104281
NOVOLOG MIX 70-30 FLEXPEN,4,103917
NAMENDA,10,101903
INVEGA SUSTENNA,2,101752
TRACLEER,1,101662
LUMIGAN,9,100447
ESBRIET,1,97155.7
LIDOCAINE,6,94164.7
TAMSULOSIN HCL,33,92536.7
FENOFIBRATE,21,89958.6
ORENITRAM ER,1,86469.6
OXYCODONE-ACETAMINOPHEN,32,85908.2
LINZESS,8,84715.4
TRUVADA,1,83236.2
PRAVASTATIN SODIUM,33,82468.9
OMEGA-3 ACID ETHYL ESTERS,13,81228.5
DIVALPROEX SODIUM ER,7,79689.6
CHLORPROMAZINE HCL,3,78953.2
VIAGRA,1,78817.1
WELCHOL,6,76788.8
SPIRIVA RESPIMAT,3,75513.1
AMITIZA,8,75402
HUMIRA PEN,2,73311.7
SEROQUEL XR,6,73135.3
CELECOXIB,18,71778.4
HUMULIN R U-500,1,71044
BENICAR,10,70117.4
SENSIPAR,2,68976.1
EXELON,6,65530.5
MODAFINIL,3,64552.2
TRAVATAN Z,7,64282.6
MYRBETRIQ,6,60919.2
ULORIC,4,59986.4
BYSTOLIC,11,58891.4
DEXILANT,7,58845.7
RENVELA,1,58781.8
LISINOPRIL,56,58612.5
TUDORZA PRESSAIR,6,58510.4
ASACOL HD,4,57122.3
SIMVASTATIN,43,56459
MULTAQ,5,55617.7
VOLTAREN,13,54545.7
VALSARTAN,20,52900
CREON,5,51501.3
LOSARTAN POTASSIUM,42,51245.6
FINASTERIDE,16,50994.1
PANTOPRAZOLE SODIUM,45,50373.7
AMLODIPINE BESYLATE,53,50343.7
CLOPIDOGREL,34,49592.7
ESOMEPRAZOLE MAGNESIUM,11,49176.5
PREDNISOLONE ACETATE,8,47995.9
MONTELUKAST SODIUM,27,47459.9
VALGANCICLOVIR HCL,1,46708.9
URSODIOL,4,46199.5
WARFARIN SODIUM,29,46050.9
KETOPROFEN,1,45839
CUBICIN,1,44597.3
FLOVENT HFA,8,44572.7
XIFAXAN,1,44530.8
BD ULTRA-FINE PEN NEEDLE,17,44056
SYNTHROID,21,43858.9
PREZISTA,1,43674.3
COMBIGAN,6,43129.4
EPZICOM,2,43125.9
COMPLERA,1,43121.9
REYATAZ,1,42961.1
DONEPEZIL HCL,28,42671.4
ONGLYZA,6,42178.6
FENTANYL,10,42025.9
VENTOLIN HFA,16,41690.9
HUMULIN 70-30,8,41417.4
NEVANAC,1,41327
DALIRESP,2,40675.6
CLOBETASOL PROPIONATE,6,40379.5
BENICAR HCT,8,40336.7
XGEVA,1,40230.9
PREMARIN,7,40199.4
QUETIAPINE FUMARATE,24,39887.2
GAMUNEX-C,1,39561.4
BUDESONIDE EC,2,38613.9
FUROSEMIDE,44,38536
CARVEDILOL,35,38505.5
TOLTERODINE TARTRATE ER,8,37917.4
